Rule ID,Policy Requirement,Evidence Types,Does This Rule Apply To Us?
CE 1,The organization demonstrates a commitment to integrity and ethical values.,,Category
CE 1.1,The organization demonstrates a commitment to integrity and ethical values. - Point of focus 1,Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
CE 1.2,The organization demonstrates a commitment to integrity and ethical values. - Point of focus 2,Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
CE 1.3,The organization demonstrates a commitment to integrity and ethical values. - Point of focus 3,Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
CE 2,The board of directors demonstrates independence from management and exercises oversight of the development and performance of internal control.,,Category
CE 2.1,The board of directors demonstrates independence from management and exercises oversight of the development and performance of internal control. - Point of focus 1,Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
CE 2.2,The board of directors demonstrates independence from management and exercises oversight of the development and performance of internal control. - Point of focus 2,Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
CE 2.3,The board of directors demonstrates independence from management and exercises oversight of the development and performance of internal control. - Point of focus 3,Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
CE 3,"Management establishes, with board oversight, structures, reporting lines, and appropriate authorities and responsibilities in the pursuit of objectives.",,Category
CE 3.1,"Management establishes, with board oversight, structures, reporting lines, and appropriate authorities and responsibilities in the pursuit of objectives. - Point of focus 1",Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
CE 3.2,"Management establishes, with board oversight, structures, reporting lines, and appropriate authorities and responsibilities in the pursuit of objectives. - Point of focus 2",Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
CE 3.3,"Management establishes, with board oversight, structures, reporting lines, and appropriate authorities and responsibilities in the pursuit of objectives. - Point of focus 3",Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
CE 4,"The organization demonstrates a commitment to attract, develop, and retain competent individuals in alignment with objectives.",,Category
CE 4.1,"The organization demonstrates a commitment to attract, develop, and retain competent individuals in alignment with objectives. - Point of focus 1",Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
CE 4.2,"The organization demonstrates a commitment to attract, develop, and retain competent individuals in alignment with objectives. - Point of focus 2",Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
CE 4.3,"The organization demonstrates a commitment to attract, develop, and retain competent individuals in alignment with objectives. - Point of focus 3",Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
CE 5,The organization holds individuals accountable for their internal control responsibilities in the pursuit of objectives.,,Category
CE 5.1,The organization holds individuals accountable for their internal control responsibilities in the pursuit of objectives. - Point of focus 1,Code of Conduct policy;Board meeting minutes referencing ethics or compliance;CEO or senior leadership communication about ethics,Yes
